
2024/08/21 (22:28:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:22:45) | ===> btop++ v.1.3.2
2024/08/22 (21:22:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:25:54) | ===> btop++ v.1.3.2
2024/08/22 (21:25:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:26:14) | ===> btop++ v.1.3.2
2024/08/22 (21:26:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:26:22) | ===> btop++ v.1.3.2
2024/08/22 (21:26:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:35:23) | ===> btop++ v.1.3.2
2024/08/22 (21:35:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:43:51) | ===> btop++ v.1.3.2
2024/08/22 (21:43:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/22 (21:44:02) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/08/22 (21:44:05) | ===> btop++ v.1.3.2
2024/08/22 (21:44:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:45:05) | ===> btop++ v.1.3.2
2024/08/22 (21:45:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:45:32) | ===> btop++ v.1.3.2
2024/08/22 (21:45:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:45:39) | ===> btop++ v.1.3.2
2024/08/22 (21:45:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:46:11) | ===> btop++ v.1.3.2
2024/08/22 (21:46:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:49:09) | ===> btop++ v.1.3.2
2024/08/22 (21:49:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/22 (21:55:16) | ===> btop++ v.1.3.2
2024/08/22 (21:55:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (18:44:47) | ===> btop++ v.1.3.2
2024/08/23 (18:44:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (20:01:40) | ===> btop++ v.1.3.2
2024/08/23 (20:01:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (21:38:21) | ===> btop++ v.1.3.2
2024/08/23 (21:38:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (12:32:27) | ===> btop++ v.1.3.2
2024/08/26 (12:32:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (13:18:25) | ===> btop++ v.1.3.2
2024/08/26 (13:18:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (13:21:50) | ===> btop++ v.1.3.2
